alpha;x0;a;b;f_calls
5;-87,4772;-62,4772;537,523;6
5;22,6636;-102,336;17,6636;12
5;44,5189;-80,4811;39,5189;14
5;12,2668;-12,7332;11,2668;32
5;50,8851;51,8851;75,8851;12
5;6,52085;-18,4792;5,52085;16
5;-51,7473;-26,7473;573,253;14
5;-3,87337;-2,87337;21,1266;10
5;-70,1096;-45,1096;554,89;14
5;-51,4453;-26,4453;573,555;13
5;-94,863;-69,863;530,137;13
5;-54,5823;-29,5823;570,418;13
5;-27,3226;-22,3226;97,6774;11
5;-13,7217;-12,7217;11,2783;28
5;22,4566;-102,543;17,4566;14
5;-76,0266;-51,0266;548,973;13
5;-17,516;-12,516;107,484;12
5;61,2131;61,2131;66,2131;11
5;-24,2673;-19,2673;100,733;15
5;-47,0801;-42,0801;77,9199;36
5;44,1728;-80,8272;39,1728;13
5;-24,6835;-19,6835;100,317;31
5;18,2372;-106,763;13,2372;35
5;66,929;41,929;65,929;13
5;30,1466;-94,8534;25,1466;10
5;45,0596;50,0596;170,06;16
5;17,0906;-107,909;12,0906;11
5;58,4054;59,4054;83,4054;12
5;-70,6372;-45,6372;554,363;10
5;-28,5299;-23,5299;96,4701;12
5;-17,3199;-12,3199;107,68;26
5;-57,6858;-32,6858;567,314;15
5;-69,2499;-44,2499;555,75;13
5;89,8058;-35,1942;84,8058;13
5;75,2056;50,2056;74,2056;16
5;84,8908;-40,1092;79,8908;19
5;16,3698;-108,63;11,3698;15
5;10,5295;-14,4705;9,52949;13
5;50,817;51,817;75,817;11
5;-13,5581;-12,5581;11,4419;15
5;38,3372;-86,6628;33,3372;14
5;-29,8126;-24,8126;95,1874;22
5;27,0736;-97,9264;22,0736;26
5;-41,9141;-36,9141;83,0859;14
5;-88,3479;-63,3479;536,652;16
5;-62,9816;-37,9816;562,018;13
5;73,808;48,808;72,808;13
5;-15,963;-10,963;109,037;17
5;-90,6858;-65,6858;534,314;16
5;-90,5985;-65,5985;534,401;13
5;4,20946;-20,7905;3,20946;12
5;47,2208;52,2208;172,221;12
5;51,7237;52,7237;76,7237;8
5;-15,1595;-10,1595;109,84;16
5;-50,9381;-25,9381;574,062;23
5;-91,6829;-66,6829;533,317;13
5;97,7829;-27,2171;92,7829;13
5;40,4551;-84,5449;35,4551;22
5;68,1972;43,1972;67,1972;24
5;-44,8273;-39,8273;80,1727;10
5;17,6613;-107,339;12,6613;16
5;18,7509;-106,249;13,7509;13
5;4,37474;-20,6253;3,37474;13
5;92,8322;-32,1678;87,8322;13
5;66,493;41,493;65,493;18
5;-55,8982;-30,8982;569,102;10
5;-33,5073;-28,5073;91,4927;12
5;-13,821;-12,821;11,179;19
5;-86,89;-61,89;538,11;14
5;58,6357;59,6357;83,6357;11
5;-31,1319;-26,1319;93,8681;9
5;-72,8198;-47,8198;552,18;23
5;-7,74479;-6,74479;17,2552;11
5;21,679;-103,321;16,679;12
5;-31,472;-26,472;93,528;12
5;-31,8207;-26,8207;93,1793;22
5;57,1542;58,1542;82,1542;20
5;-0,233726;3,04416e-05;1;8
5;-64,803;-39,803;560,197;11
5;14,6616;-10,3384;13,6616;13
5;83,7346;-41,2654;78,7346;13
5;-17,0471;-12,0471;107,953;14
5;-47,2765;-42,2765;77,7235;14
5;-67,7411;-42,7411;557,259;13
5;97,0982;-27,9018;92,0982;13
5;-89,1027;-64,1027;535,897;21
5;90,6295;-34,3705;85,6295;13
5;29,577;-95,423;24,577;17
5;-68,7644;-43,7644;556,236;16
5;33,3995;-91,6005;28,3995;13
5;59,312;60,312;84,312;17
5;-17,6759;-12,6759;107,324;9
5;65,9339;40,9339;64,9339;15
5;19,1585;-105,842;14,1585;10
5;94,6459;-30,3541;89,6459;14
5;65,3272;60,3272;65,3272;17
5;58,8264;59,8264;83,8264;13
5;56,8984;57,8984;81,8984;8
5;62,6888;-0,904467;0,0789047;8
5;-83,0526;-58,0526;541,947;12
