alpha;x*;y*;f_calls;min(local/global)
1,5;-2,02483e-06;7,48412e-17;62;lokalne
1,5;3,39525e-07;-4,85162e-18;60;lokalne
1,5;-6,49506e-07;1,28e-18;66;lokalne
1,5;62,7482;-0,921148;58;globalne
1,5;-1,70147e-06;5,07426e-17;60;lokalne
1,5;62,7482;-0,921148;68;globalne
1,5;62,7482;-0,921148;60;globalne
1,5;6,77392e-08;-7,06539e-18;50;lokalne
1,5;1,93262e-06;6,75428e-17;66;lokalne
1,5;-1,82967e-06;5,97965e-17;60;lokalne
1,5;1,90858e-06;6,56962e-17;60;lokalne
1,5;-1,27316e-06;2,52615e-17;64;lokalne
1,5;62,7482;-0,921148;54;globalne
1,5;1,80094e-06;5,77104e-17;60;lokalne
1,5;62,7482;-0,921148;60;globalne
1,5;1,05333e-06;1,5033e-17;62;lokalne
1,5;-1,95757e-06;6,94848e-17;60;lokalne
1,5;-2,62468e-06;1,30622e-16;62;lokalne
1,5;2,12918e-06;8,35108e-17;64;lokalne
1,5;-1,63724e-06;4,64539e-17;54;lokalne
1,5;-1,85909e-06;6,19672e-17;60;lokalne
1,5;1,10345e-06;1,71948e-17;66;lokalne
1,5;62,7482;-0,921148;60;globalne
1,5;6,05494e-07;1,75294e-19;62;lokalne
1,5;2,06084e-06;7,77842e-17;64;lokalne
1,5;-2,9985e-06;1,72662e-16;60;lokalne
1,5;4,88344e-07;-2,38757e-18;60;lokalne
1,5;-2,17641e-07;-6,20981e-18;66;lokalne
1,5;1,37272e-06;3,05302e-17;60;lokalne
1,5;-1,54383e-06;4,05111e-17;60;lokalne
1,5;62,7482;-0,921148;58;globalne
1,5;62,7482;-0,921148;58;globalne
1,5;62,7482;-0,921148;52;globalne
1,5;-2,46651e-06;1,14516e-16;62;lokalne
1,5;2,1649e-06;8,65789e-17;60;lokalne
1,5;2,85728e-06;1,56124e-16;60;lokalne
1,5;62,7482;-0,921148;60;globalne
1,5;2,46348e-07;-5,94342e-18;58;lokalne
1,5;-1,06687e-06;1,56071e-17;64;lokalne
1,5;62,7482;-0,921148;68;globalne
1,5;-8,35412e-07;6,80112e-18;54;lokalne
1,5;-2,18541e-06;8,83631e-17;66;lokalne
1,5;2,144e-06;8,47778e-17;66;lokalne
1,5;62,7482;-0,921148;62;globalne
1,5;62,7482;-0,921148;60;globalne
1,5;5,79255e-07;-4,46447e-19;62;lokalne
1,5;1,58605e-07;-6,65406e-18;64;lokalne
1,5;62,7482;-0,921148;56;globalne
1,5;2,06852e-06;7,84186e-17;50;lokalne
1,5;62,7482;-0,921148;60;globalne
1,5;1,66581e-06;4,83414e-17;60;lokalne
1,5;-7,91686e-08;-7,03181e-18;62;lokalne
1,5;1,44653e-06;3,4692e-17;62;lokalne
1,5;-9,36368e-07;1,03786e-17;62;lokalne
1,5;5,2638e-07;-1,61565e-18;66;lokalne
1,5;62,7482;-0,921148;62;globalne
1,5;2,72954e-07;-5,66709e-18;60;lokalne
1,5;1,30162e-06;2,67269e-17;64;lokalne
1,5;-1,96968e-06;7,04358e-17;50;lokalne
1,5;-5,15631e-07;-1,83965e-18;62;lokalne
1,5;2,23261e-06;9,2534e-17;62;lokalne
1,5;62,7482;-0,921148;56;globalne
1,5;-1,88154e-06;6,3647e-17;64;lokalne
1,5;62,7482;-0,921148;60;globalne
1,5;62,7482;-0,921148;56;globalne
1,5;-1,62306e-06;4,55293e-17;62;lokalne
1,5;62,7482;-0,921148;60;globalne
1,5;-6,15705e-07;4,24705e-19;64;lokalne
1,5;-1,46104e-07;-6,73024e-18;60;lokalne
1,5;62,7482;-0,921148;62;globalne
1,5;-6,0259e-07;1,05128e-19;62;lokalne
1,5;62,7482;-0,921148;60;globalne
1,5;62,7482;-0,921148;60;globalne
1,5;1,04451e-06;1,46628e-17;60;lokalne
1,5;2,23855e-06;9,30653e-17;50;lokalne
1,5;62,7482;-0,921148;58;globalne
1,5;8,51044e-07;7,32835e-18;60;lokalne
1,5;2,10007e-06;8,10484e-17;66;lokalne
1,5;62,7482;-0,921148;62;globalne
1,5;2,31264e-07;-6,08751e-18;56;lokalne
1,5;1,16606e-06;2,00366e-17;60;lokalne
1,5;4,95681e-07;-2,24317e-18;66;lokalne
1,5;62,7482;-0,921148;58;globalne
1,5;-1,11882e-06;1,78778e-17;60;lokalne
1,5;3,57922e-08;-7,13154e-18;66;lokalne
1,5;62,7482;-0,921148;58;globalne
1,5;-2,5288e-06;1,20739e-16;60;lokalne
1,5;1,14459e-06;1,90444e-17;60;lokalne
1,5;1,0194e-06;1,36263e-17;66;lokalne
1,5;4,89004e-07;-2,37466e-18;56;lokalne
1,5;62,7482;-0,921148;60;globalne
1,5;-1,05009e-06;1,48966e-17;56;lokalne
1,5;6,09292e-07;2,67575e-19;64;lokalne
1,5;62,7482;-0,921148;56;globalne
1,5;6,89583e-07;2,35334e-18;58;lokalne
1,5;-4,92719e-07;-2,30172e-18;60;lokalne
1,5;62,7482;-0,921148;68;globalne
1,5;1,85e-06;6,12929e-17;60;lokalne
1,5;6,28808e-07;7,50811e-19;50;lokalne
1,5;62,7482;-0,921148;60;globalne
