alpha;x0;a;b;f_calls
2,5;74,0449;34,9824;67,7949;7
2,5;-86,8993;-47,8368;157,241;12
2,5;-9,41475;-6,91475;6,21025;21
2,5;-14,256;-8,00604;24,8065;14
2,5;-71,3267;-32,2642;172,814;16
2,5;39,3418;-58,3145;23,7168;25
2,5;-26,1552;-19,9052;12,9073;15
2,5;-63,7934;-48,1684;33,8629;15
2,5;55,5098;58,0098;71,1348;22
2,5;-63,4793;-47,8543;34,177;18
2,5;7,63129;-7,99371;5,13129;23
2,5;55,5807;58,0807;71,2057;13
2,5;34,2348;-63,4215;18,6098;19
2,5;54,0825;56,5825;69,7075;14
2,5;92,4317;-5,22459;76,8067;17
2,5;94,2536;-3,40268;78,6286;13
2,5;57,8062;60,3062;73,4312;28
2,5;-1,82541;-0,825409;4,42459;16
2,5;-25,73;-19,48;13,3325;12
2,5;-85,5951;-46,5326;158,546;16
2,5;-39,8583;-0,795767;204,282;22
2,5;32,0285;-65,6278;16,4035;17
2,5;-55,4832;-39,8582;42,173;14
2,5;-71,0233;-31,9608;173,117;17
2,5;-80,5518;-41,4893;163,589;23
2,5;-66,5763;-50,9513;31,08;24
2,5;-21,5298;-15,2798;17,5327;20
2,5;50,8115;57,0615;89,874;12
2,5;-70,0071;-30,9446;174,134;12
2,5;55,4216;57,9216;71,0466;18
2,5;-89,2401;-50,1776;154,9;19
2,5;-74,8455;-35,783;169,295;24
2,5;75,8811;36,8186;69,6311;22
2,5;-62,7505;-47,1255;34,9057;11
2,5;-39,5055;-0,443029;204,635;26
2,5;75,7208;36,6583;69,4708;16
2,5;-9,40754;-6,90754;6,21746;9
2,5;-12,1756;-5,9256;26,8869;14
2,5;-19,7717;-13,5217;19,2908;14
2,5;-3,64176;-2,64176;2,60824;10
2,5;-19,56;-13,31;19,5025;12
2,5;-43,4114;-4,34887;200,729;14
2,5;76,3456;37,2831;70,0956;17
2,5;-54,857;-39,232;42,7992;12
2,5;96,4634;-1,19289;80,8384;16
2,5;-18,2885;-12,0385;20,774;11
2,5;19,465;-19,5975;13,215;13
2,5;-6,11711;-3,61711;9,50789;13
2,5;-76,5589;-37,4964;167,582;15
2,5;-22,0869;-15,8369;16,9756;21
2,5;-33,8934;5,16913;210,247;14
2,5;-99,8169;-60,7544;144,324;13
2,5;96,2447;-1,41155;80,6197;41
2,5;-55,7125;-40,0875;41,9438;34
2,5;-15,096;-8,846;23,9665;14
2,5;-99,2844;-60,2219;144,856;16
2,5;-63,7345;-48,1095;33,9217;42
2,5;33,5072;-64,1491;17,8822;25
2,5;38,4299;-59,2264;22,8049;15
2,5;-9,56213;-7,06213;6,06287;14
2,5;43,1847;-54,4716;27,5597;17
2,5;30,3889;-67,2674;14,7639;19
2,5;-70,4344;-31,3719;173,706;15
2,5;-76,6302;-37,5677;167,51;21
2,5;83,9246;44,8621;77,6746;22
2,5;-86,0147;-46,9522;158,126;21
2,5;-86,5767;-47,5142;157,564;23
2,5;60,5195;61,5195;66,7695;19
2,5;-60,9;-45,275;36,7562;17
2,5;-1,04849;-1,04849;1,45151;24
2,5;-18,9057;-12,6557;20,1568;12
2,5;37,364;-60,2923;21,739;14
2,5;-76,3121;-37,2496;167,828;18
2,5;95,6022;-2,0541;79,9772;23
2,5;26,908;-12,1545;20,658;32
2,5;-25,2503;-19,0003;13,8122;12
2,5;91,9566;-5,69967;76,3316;16
2,5;33,7214;-63,9349;18,0964;13
2,5;-79,1315;-40,069;165,009;16
2,5;-8,69761;-6,19761;6,92739;19
2,5;-58,9179;-43,2929;38,7384;14
2,5;14,8717;-24,1908;8,62169;32
2,5;5,3855;-10,2395;2,8855;14
2,5;-79,5796;-40,5171;164,561;16
2,5;53,748;56,248;69,373;20
2,5;49,6419;55,8919;88,7044;15
2,5;-89,7147;-50,6522;154,426;13
2,5;-41,8197;-2,75723;202,321;23
2,5;-39,8399;-0,777387;204,301;17
2,5;98,7417;1,08543;83,1167;17
2,5;60,4747;61,4747;66,7247;9
2,5;78,0876;39,0251;71,8376;17
2,5;-97,415;-58,3525;146,726;20
2,5;62,926;-0,911064;0,0793264;40
2,5;-28,0774;10,9851;216,063;14
2,5;72,6639;57,0389;70,1639;11
2,5;-32,7866;6,2759;211,354;19
2,5;90,4991;-7,15715;74,8741;13
2,5;74,2562;35,1937;68,0062;11
2,5;55,7365;58,2365;71,3615;9
