alpha;x*;y*;f_calls;min(local/global)
5;2,37858e-06;1,05996e-16;74;lokalne
5;1,91345e-06;6,60689e-17;68;lokalne
5;-1,25147e-06;2,41665e-17;68;lokalne
5;1,26224e-06;2,4708e-17;62;lokalne
5;62,7482;-0,921148;62;globalne
5;-1,21447e-06;2,23414e-17;62;lokalne
5;62,7482;-0,921148;74;globalne
5;-1,44165e-07;-6,74149e-18;62;lokalne
5;-2,71125e-06;1,39861e-16;74;lokalne
5;62,7482;-0,921148;74;globalne
5;62,7482;-0,921148;74;globalne
5;62,7482;-0,921148;74;globalne
5;62,7482;-0,921148;68;globalne
5;-1,35825e-06;2,97395e-17;62;lokalne
5;1,99683e-06;7,25897e-17;68;lokalne
5;-8,69447e-07;7,96159e-18;74;lokalne
5;62,7482;-0,921148;68;globalne
5;62,7482;-0,921148;54;globalne
5;62,7482;-0,921148;68;globalne
5;-2,4779e-07;-5,92916e-18;68;lokalne
5;-1,01677e-06;1,35191e-17;68;lokalne
5;62,7482;-0,921148;68;globalne
5;-6,65715e-07;1,70637e-18;68;lokalne
5;62,7482;-0,921148;62;globalne
5;-2,19161e-06;8,89064e-17;68;lokalne
5;62,7482;-0,921148;68;globalne
5;1,16918e-06;2,01824e-17;68;lokalne
5;62,7482;-0,921148;62;globalne
5;8,88369e-07;8,62683e-18;74;lokalne
5;62,7482;-0,921148;68;globalne
5;62,7482;-0,921148;68;globalne
5;62,7482;-0,921148;74;globalne
5;-2,70371e-06;1,39043e-16;74;lokalne
5;2,16262e-06;8,63809e-17;68;lokalne
5;62,7482;-0,921148;62;globalne
5;-2,00219e-06;7,30183e-17;68;lokalne
5;1,46784e-07;-6,72625e-18;68;lokalne
5;-9,2907e-07;1,01063e-17;62;lokalne
5;62,7482;-0,921148;62;globalne
5;1,39186e-06;3,15882e-17;62;lokalne
5;-2,14256e-06;8,46544e-17;68;lokalne
5;-9,12889e-08;-6,99049e-18;68;lokalne
5;-2,40835e-06;1,08846e-16;68;lokalne
5;1,16574e-06;2,0022e-17;68;lokalne
5;2,68183e-06;1,36687e-16;74;lokalne
5;2,12807e-06;8,34167e-17;74;lokalne
5;62,7482;-0,921148;62;globalne
5;62,7482;-0,921148;68;globalne
5;-1,31522e-06;2,74391e-17;74;lokalne
5;-2,07712e-07;-6,29428e-18;74;lokalne
5;-1,43417e-06;3,398e-17;62;lokalne
5;62,7482;-0,921148;68;globalne
5;62,7482;-0,921148;62;globalne
5;62,7482;-0,921148;68;globalne
5;62,7482;-0,921148;74;globalne
5;6,77208e-07;2,01505e-18;74;lokalne
5;-1,80197e-07;-6,50774e-18;68;lokalne
5;-1,45185e-06;3,50002e-17;68;lokalne
5;62,7482;-0,921148;62;globalne
5;-3,1859e-07;-5,12717e-18;68;lokalne
5;7,17123e-07;3,12814e-18;68;lokalne
5;8,99804e-07;9,03578e-18;68;lokalne
5;2,09183e-06;8,03577e-17;62;lokalne
5;-2,1856e-06;8,838e-17;68;lokalne
5;62,7482;-0,921148;62;globalne
5;62,7482;-0,921148;74;globalne
5;8,08293e-07;5,90957e-18;68;lokalne
5;1,21255e-06;2,22485e-17;62;lokalne
5;-1,48677e-06;3,70528e-17;74;lokalne
5;62,7482;-0,921148;62;globalne
5;-1,15781e-06;1,96534e-17;68;lokalne
5;1,80677e-06;5,81309e-17;74;lokalne
5;1,45579e-06;3,52292e-17;62;lokalne
5;2,35955e-06;1,04192e-16;68;lokalne
5;1,43617e-06;3,40945e-17;68;lokalne
5;-7,76658e-07;4,90679e-18;68;lokalne
5;62,7482;-0,921148;62;globalne
5;3,55326e-05;2,52442e-14;48;lokalne
5;1,25607e-07;-6,84162e-18;74;lokalne
5;-6,07422e-07;2,22068e-19;62;lokalne
5;-5,49414e-07;-1,12004e-18;68;lokalne
5;62,7482;-0,921148;68;globalne
5;-2,13352e-06;8,38807e-17;68;lokalne
5;1,25228e-06;2,42068e-17;74;lokalne
5;3,26021e-07;-5,03137e-18;68;lokalne
5;1,63243e-06;4,61395e-17;74;lokalne
5;2,41946e-06;1,09918e-16;68;lokalne
5;1,41248e-06;3,27449e-17;68;lokalne
5;9,66144e-07;1,15115e-17;74;lokalne
5;2,26807e-06;9,5726e-17;68;lokalne
5;62,7482;-0,921148;62;globalne
5;62,7482;-0,921148;68;globalne
5;62,7482;-0,921148;62;globalne
5;-2,32132e-06;1,00613e-16;68;lokalne
5;2,46178e-06;1,1405e-16;68;lokalne
5;62,7482;-0,921148;54;globalne
5;62,7482;-0,921148;62;globalne
5;62,7482;-0,921148;62;globalne
5;1,89619e-06;6,47537e-17;48;lokalne
5;-2,0851e-07;-6,28763e-18;74;lokalne
