x0_1;x0_2;x1*;x2*;y*;f_calls;g_calls
-6,3398;-0,121063;0,998548;3,00146;4,23487e-06;1;22
-3,14357;-9,49611;1,0013;2,99863;3,58621e-06;1;24
1,12321;-9,8452;1,00127;2,99873;3,22153e-06;1;25
-7,90053;-3,24101;0,998627;3,00143;3,95466e-06;1;21
-3,76758;-9,32413;1,00119;2,99875;2,99835e-06;1;24
8,07215;8,84726;1,0014;2,99863;3,85408e-06;1;19
-4,18972;9,33038;0,998796;3,00124;2,99622e-06;1;24
-1,82231;8,28144;0,998547;3,00155;4,55264e-06;1;23
5,29778;0,667774;1,00127;2,99881;3,0322e-06;1;23
8,72347;2,6237;1,00119;2,99888;2,69113e-06;1;24
4,82916;2,282;1,00131;2,99868;3,45693e-06;1;22
9,36281;5,11154;1,00148;2,99859;4,19382e-06;1;23
-3,77727;0,411872;0,998895;3,00117;2,59493e-06;1;21
-7,03417;-7,59391;1,00139;2,99867;3,69982e-06;1;21
4,52681;-4,76761;1,0014;2,99852;4,16529e-06;1;24
-4,14749;-9,0838;1,0011;2,99884;2,5598e-06;1;24
4,54587;-6,74859;1,0012;2,99882;2,81787e-06;1;25
-4,6576;-3,65464;1,00112;2,99885;2,56267e-06;1;19
-3,80826;-8,09395;1,00147;2,99845;4,60059e-06;1;23
4,90582;-4,50192;1,00139;2,99854;4,09044e-06;1;24
7,60398;-9,43481;1,00117;2,99891;2,57347e-06;1;26
9,37939;5,96733;1,00132;2,99875;3,30612e-06;1;23
7,53304;-2,55876;1,00127;2,99876;3,14815e-06;1;24
9,25963;-0,361962;1,00102;2,99896;2,11108e-06;1;25
0,502525;-5,91809;1,00121;2,99872;3,11879e-06;1;24
5,08818;-9,07497;1,00146;2,99856;4,21297e-06;1;25
-6,62852;-3,16795;0,998878;3,00115;2,58993e-06;1;20
1,44089;-7,55773;1,00107;2,99894;2,27124e-06;1;25
5,59345;0,280097;1,00137;2,99871;3,57073e-06;1;23
-3,16711;-0,67143;0,998795;3,0012;2,89562e-06;1;17
7,09855;-7,21632;1,00139;2,99865;3,74856e-06;1;25
0,700821;5,75035;0,998615;3,00129;3,62296e-06;1;21
8,7539;-9,18882;1,00118;2,9989;2,61829e-06;1;26
-6,26817;7,98085;0,998534;3,0014;4,12803e-06;1;24
-2,9203;9,53593;0,998757;3,0013;3,25697e-06;1;24
5,32512;-4,79576;1,00104;2,99898;2,12768e-06;1;25
2,99089;2,52762;1,00149;2,99843;4,72559e-06;1;20
2,50364;-7,38292;1,00112;2,99889;2,5008e-06;1;25
8,69338;-1,59475;1,00102;2,99896;2,12607e-06;1;25
1,2905;0,106885;1,00145;2,99865;3,96924e-06;1;21
-1,53765;-1,67988;1,00114;2,99892;2,48519e-06;1;21
-6,23525;3,83956;0,998839;3,00109;2,56208e-06;1;24
-9,98792;1,44167;0,998524;3,00139;4,13635e-06;1;24
-0,0423365;2,8549;0,998611;3,00129;3,63183e-06;1;18
0,996078;-8,67696;1,00115;2,99885;2,62662e-06;1;25
4,72258;-6,64558;1,0012;2,99882;2,82052e-06;1;25
-1,795;5,37448;0,998816;3,00114;2,71059e-06;1;22
7,00471;2,53224;1,00138;2,99869;3,65865e-06;1;23
0,712658;-0,467281;1,00154;2,99857;4,46791e-06;1;21
-6,39716;-2,81368;0,998786;3,00125;3,04131e-06;1;20
1,44613;2,63765;1,0013;2,99878;3,19145e-06;1;17
1,49118;-9,23101;1,00123;2,99877;3,04184e-06;1;25
-9,3;5,93031;0,998806;3,00121;2,89323e-06;1;25
-9,03157;7,03306;0,998767;3,00126;3,09908e-06;1;25
3,61737;-2,4267;1,00146;2,99844;4,61796e-06;1;23
6,20837;-9,30754;1,0011;2,99896;2,30869e-06;1;26
8,67507;7,7867;1,00103;2,99897;2,11809e-06;1;22
2,58366;-4,54764;1,00121;2,99872;3,09991e-06;1;24
-3,19791;-6,23745;1,00118;2,99875;2,97824e-06;1;23
2,52548;-3,76131;1,00109;2,99885;2,53062e-06;1;24
7,24731;6,40221;1,00144;2,99848;4,38589e-06;1;21
3,95577;9,22303;0,998861;3,00114;2,58915e-06;1;22
9,35258;3,17451;1,00123;2,99884;2,87361e-06;1;24
6,56014;-0,254924;1,00166;2,99845;5,21263e-06;1;23
7,87026;3,91646;1,00136;2,99871;3,53964e-06;1;23
-2,407;-1,09032;1,00112;2,99883;2,61989e-06;1;18
2,42994;7,80875;0,998862;3,00113;2,5621e-06;1;22
7,29359;5,39314;1,00133;2,99866;3,55191e-06;1;22
7,12087;4,18045;1,00115;2,99891;2,53003e-06;1;23
-0,493572;-8,63565;1,00104;2,99896;2,15584e-06;1;25
-7,51608;3,15307;0,998713;3,00121;3,14609e-06;1;24
7,51678;0,524084;1,0012;2,99886;2,7463e-06;1;24
8,48025;-7,57231;1,00146;2,99858;4,13598e-06;1;25
2,0364;0,762159;1,00135;2,99874;3,43449e-06;1;21
-5,40466;2,16664;0,998729;3,00121;3,0929e-06;1;23
-4,79072;-5,31218;1,00136;2,9987;3,55185e-06;1;21
-1,6558;-2,11673;1,00131;2,99876;3,26163e-06;1;21
-0,626823;5,20439;0,998602;3,00132;3,71662e-06;1;21
7,70625;1,57242;1,00168;2,99841;5,3755e-06;1;23
-4,9605;-6,63103;1,0013;2,99869;3,4165e-06;1;22
8,79932;-5,84627;1,00121;2,99885;2,79688e-06;1;25
-9,63646;-3,11615;0,998864;3,00108;2,47347e-06;1;23
-6,28844;-6,09019;1,00142;2,99862;3,9403e-06;1;20
-1,64283;1,06321;0,998802;3,00114;2,75632e-06;1;18
8,61359;8,09697;1,00129;2,99865;3,52072e-06;1;21
-1,33642;6,67503;0,998961;3,00111;2,33052e-06;1;23
0,569789;6,55294;0,998822;3,00117;2,75033e-06;1;22
-0,725092;-3,21024;1,00102;2,99893;2,18854e-06;1;23
3,62434;0,714345;1,00111;2,99893;2,38968e-06;1;22
3,6318;-1,22375;1,00119;2,99873;3,06365e-06;1;23
-1,61379;-1,02469;1,00111;2,99893;2,3805e-06;1;20
-6,34917;-4,02964;0,998859;3,00123;2,84365e-06;1;16
-9,53773;1,14811;0,998627;3,00129;3,58301e-06;1;24
7,01849;1,81904;1,00149;2,99859;4,24652e-06;1;23
7,39071;-4,27217;1,00139;2,9986;3,87581e-06;1;24
-7,73962;4,29328;0,998572;3,00135;3,87907e-06;1;24
6,41323;-9,85318;1,00115;2,99892;2,5133e-06;1;26
5,13187;-5,39203;1,0011;2,99893;2,35233e-06;1;25
8,12009;-5,63726;1,00118;2,99887;2,68659e-06;1;25
-7,8534;-4,45462;0,998922;3,0011;2,37655e-06;1;20
