x0_1;x0_2;x1*;x2*;y*;f_calls;g_calls;h_calls
7,553;6,12989;1,00658;3,00314;0,000431858;1;54;54
5,00038;6,13723;1,00519;3,00407;0,000386564;1;52;52
-3,74092;2,64962;0,99301;2,99948;0,000274526;1;51;51
3,08051;-1,35835;1,00307;2,99357;9,58195e-05;1;51;51
-6,03928;-1,98843;0,994523;2,99612;0,000395402;1;56;56
2,06458;0,366011;1,00262;2,99352;0,000108341;1;47;47
6,31733;9,47278;1,00414;3,00504;0,000379115;1;56;56
9,9013;6,43586;1,00609;3,00235;0,000328122;1;57;57
5,69358;-2,17281;1,00472;2,9948;5,01811e-05;1;54;54
-4,28084;5,26804;0,99397;3,00259;9,03945e-05;1;53;53
-6,47255;3,74106;0,993393;3,00066;0,000185786;1;55;55
-3,06488;-2,29595;0,995916;2,99468;0,000398844;1;54;54
-4,82325;-3,41278;0,995469;2,99501;0,000408005;1;56;56
9,15012;9,51043;1,00558;3,00446;0,000454089;1;57;57
-3,22835;-6,15262;0,997105;2,99373;0,000383441;1;57;57
-9,94996;-2,29895;0,993402;2,99681;0,000437169;1;58;58
-2,94143;0,368391;0,994189;2,99612;0,000424511;1;51;51
-1,4244;6,67373;0,996425;3,00542;5,56886e-05;1;51;51
1,52611;9,41123;1,00053;3,00644;0,000236122;1;54;54
-8,95797;-0,728802;0,993182;2,99745;0,000404316;1;57;57
9,99254;-0,978294;1,00616;2,99728;9,24848e-05;1;57;57
-0,877566;2,13295;0,994039;2,99725;0,000346823;1;45;45
0,435052;2,22659;0,996138;2,99471;0,000377726;1;39;39
1,0309;-8,52203;1,00002;2,99306;0,000239968;1;58;58
-2,71076;0,372493;0,994529;2,99613;0,000394269;1;51;51
-9,07552;8,75419;0,993929;3,00347;7,59987e-05;1;58;58
6,94391;8,13081;1,00526;3,00454;0,00043175;1;55;55
-9,1756;-8,67529;0,995252;2,99455;0,000468057;1;60;60
-0,369691;-8,07842;0,999175;2,99332;0,00027028;1;58;58
4,83467;-3,53544;1,00339;2,99422;6,76985e-05;1;55;55
8,52212;-1,90629;1,00585;2,99618;6,54005e-05;1;56;56
-5,21321;8,57218;0,995166;3,00434;4,31648e-05;1;56;56
-9,64985;3,26868;0,992708;3,00018;0,000255314;1;57;57
7,08769;5,42567;1,00612;3,00244;0,000336032;1;54;54
-6,65042;0,932977;0,993236;2,99817;0,000344395;1;55;55
-1,57736;0,516297;0,995093;2,99527;0,000417844;1;49;49
4,18604;7,90426;1,00364;3,0056;0,000385902;1;53;53
6,64594;3,12496;1,00733;3,00016;0,000277945;1;52;52
2,51315;7,18241;1,00223;3,00617;0,000325079;1;51;51
0,346953;2,83505;0,993449;2,99835;0,000315004;1;36;36
-0,982304;7,80986;0,997428;3,00624;9,93983e-05;1;52;52
8,16431;2,03673;1,0072;2,99903;0,000208035;1;54;54
1,29608;-3,40088;1,00034;2,99269;0,000247868;1;53;53
-0,943797;-9,34847;0,998969;2,99345;0,000273665;1;59;59
7,98836;5,37687;1,00618;3,0021;0,000316875;1;55;55
9,36548;7,66649;1,00573;3,0032;0,000361516;1;57;57
-0,722091;-8,3123;0,998962;2,99318;0,000294273;1;58;58
4,81214;1,97939;1,00639;2,99829;0,00013122;1;50;50
0,276759;-9,57129;0,999617;2,99333;0,000243356;1;59;59
8,77376;-3,96727;1,00532;2,99523;5,23112e-05;1;57;57
-6,40316;5,78295;0,993454;3,00246;0,000115657;1;55;55
-6,59149;-3,35489;0,994802;2,99565;0,000410714;1;57;57
-8,3539;3,30548;0,992722;3,00024;0,000251302;1;56;56
4,16056;-4,84919;1,00246;2,99389;9,65845e-05;1;56;56
-1,91675;8,65892;0,99667;3,00646;9,20498e-05;1;53;53
4,02718;-7,75093;1,00182;2,99352;0,000131929;1;58;58
