x0_1;x0_2;x1*;x2*;y*;f_calls;g_calls
-0,933049;-6,28798;1,0002;2,99981;7,65523e-08;246;7
-7,17977;7,76291;0,99916;3,00092;1,56821e-06;806;23
9,76552;0,665548;1,00028;2,99971;1,64928e-07;386;11
-9,98302;-3,57949;0,999081;3,00096;1,7773e-06;386;11
-6,3017;-7,64339;1,00135;2,99873;3,46689e-06;456;13
6,66191;-5,57029;1,00167;2,99851;5,15717e-06;1016;29
-7,69514;-0,012087;0,999893;3,00011;2,33177e-08;316;9
-0,744627;-0,497075;1,00031;2,9997;1,81495e-07;316;9
-9,80621;7,18569;0,999178;3,00087;1,4407e-06;526;15
4,79598;6,70523;1,0006;2,99943;6,92855e-07;281;8
-9,45108;7,09556;0,99922;3,00083;1,29881e-06;526;15
5,36781;-4,47054;1,001;2,99909;1,85467e-06;876;25
-6,147;-4,33708;1,00031;2,99967;2,10536e-07;351;10
-2,60061;-1,26618;1,00143;2,99875;3,72927e-06;736;21
6,48651;-5,65951;1,00137;2,99876;3,49298e-06;946;27
-2,02386;1,36045;0,999469;3,00055;5,87022e-07;316;9
2,27093;9,20421;0,999866;3,00013;3,52177e-08;246;7
-9,26758;8,89413;0,998316;3,00185;6,3466e-06;806;23
-8,92947;-1,35311;0,999898;3,00011;2,16002e-08;316;9
-5,76885;-2,56063;0,998839;3,0013;3,1293e-06;736;21
7,44431;4,54602;1,00015;2,99985;4,44616e-08;246;7
-6,79442;4,08839;0,999771;3,00024;1,08935e-07;386;11
3,97544;-5,3415;1,00037;2,99965;2,66924e-07;526;15
7,69635;-9,40567;1,00091;2,99916;1,56335e-06;806;23
3,03186;2,71288;1,00039;2,99959;3,21755e-07;316;9
-4,75549;-8,89533;1,00014;2,99987;3,60394e-08;386;11
-3,68886;-1,72083;1,00006;3,00001;2,24301e-08;176;5
-3,25781;-1,45602;1,00112;2,99876;2,83913e-06;491;14
0,308538;-7,45359;1,00018;2,99982;6,60948e-08;316;9
2,54514;8,92799;0,999858;3,00014;3,974e-08;246;7
-3,56397;6,20134;0,998004;3,0023;9,63173e-06;1016;29
-2,94581;2,53603;0,999937;3,00006;8,10863e-09;246;7
2,83636;9,30705;0,999832;3,00017;5,579e-08;246;7
-9,61186;9,47527;0,999055;3,00105;2,03129e-06;946;27
-7,10186;-5,63284;1,00159;2,99817;6,09325e-06;701;20
-5,75512;-8,12468;1,00099;2,99906;1,87311e-06;386;11
-4,78064;5,92398;0,999364;3,00069;8,8296e-07;666;19
-1,3993;-7,72339;1,00024;2,99977;1,11497e-07;246;7
7,87166;-1,72292;1,00124;2,99858;3,67959e-06;1086;31
1,57481;2,79592;1,00037;2,99961;2,92865e-07;386;11
-8,67704;5,76798;0,999426;3,0006;6,93615e-07;456;13
-5,63491;-5,95224;1,00082;2,99925;1,2473e-06;596;17
4,41588;-6,27461;1,00077;2,99927;1,13628e-06;526;15
5,81034;-8,05879;1,00095;2,99911;1,70307e-06;596;17
2,22588;-2,78564;1,0005;2,99952;4,89265e-07;386;11
-1,00875;-2,50152;1,00007;2,99993;8,80189e-09;316;9
6,91743;-9,81103;1,00072;2,99932;9,93715e-07;666;19
5,30042;0,179165;1,00127;2,99857;3,75783e-06;946;27
2,8451;-5,39035;1,00072;2,99931;9,88041e-07;386;11
3,29002;-5,61181;1,00029;2,99972;1,60122e-07;386;11
6,49851;-4,53901;1,00147;2,99875;3,91892e-06;1226;35
-6,17269;9,49088;0,998257;3,00158;5,6349e-06;841;24
-6,21486;8,95368;0,997987;3,00166;7,3061e-06;1261;36
-5,84126;-1,74814;0,998893;3,00118;2,63447e-06;456;13
8,95841;0,912342;1,00026;2,99973;1,4032e-07;386;11
-4,77857;-6,76087;1,00084;2,9992;1,35125e-06;386;11
-0,0504184;-6,57929;1,00016;2,99985;4,86519e-08;246;7
9,30921;-4,32968;1,00168;2,99852;5,20132e-06;1051;30
0,318069;8,35843;0,999617;3,00037;2,82078e-07;386;11
-8,36132;-8,358;1,00141;2,99875;3,64464e-06;806;23
-5,61431;-6,80447;1,00054;2,99949;5,48592e-07;526;15
9,33634;-3,09554;1,00139;2,99837;4,8378e-06;1226;35
-8,6561;9,82825;0,998248;3,00203;7,48153e-06;1156;33
1,25555;7,55798;0,999919;3,00008;1,28673e-08;316;9
-4,54563;8,50196;0,999858;3,00014;3,91885e-08;281;8
8,78336;4,37062;1,00015;2,99985;4,69387e-08;246;7
-2,80656;9,41309;0,998229;3,00161;5,83027e-06;806;23
-7,34543;-9,04208;1,00068;2,99936;8,68911e-07;526;15
8,08479;4,92279;1,00017;2,99982;6,05011e-08;246;7
3,38509;-6,91517;1,00081;2,99922;1,25663e-06;386;11
-7,36422;-3,99096;0,998871;3,00128;3,01002e-06;806;23
-8,40343;-7,39486;1,00148;2,99816;6,12018e-06;911;26
-0,63913;2,10254;0,999714;3,0003;1,70134e-07;316;9
2,92113;-4,07887;1,00043;2,99959;3,60546e-07;456;13
-0,0157593;4,71373;0,998016;3,0018;7,31288e-06;666;19
-0,479059;9,17839;0,999494;3,00049;4,93802e-07;386;11
5,65074;1,335;1,00078;2,99918;1,28776e-06;456;13
