x0_1;x0_2;x1*;x2*;y*;f_calls;g_calls
7,553;6,12989;nan;nan;nan;1;10001
5,00038;6,13723;nan;nan;nan;1;10001
-3,74092;2,64962;nan;nan;nan;1;10001
3,08051;-1,35835;nan;nan;nan;1;10001
-6,03928;-1,98843;nan;nan;nan;1;10001
2,06458;0,366011;nan;nan;nan;1;10001
6,31733;9,47278;nan;nan;nan;1;10001
9,9013;6,43586;nan;nan;nan;1;10001
5,69358;-2,17281;nan;nan;nan;1;10001
-4,28084;5,26804;nan;nan;nan;1;10001
-6,47255;3,74106;nan;nan;nan;1;10001
-3,06488;-2,29595;nan;nan;nan;1;10001
-4,82325;-3,41278;nan;nan;nan;1;10001
9,15012;9,51043;nan;nan;nan;1;10001
-3,22835;-6,15262;nan;nan;nan;1;10001
-9,94996;-2,29895;nan;nan;nan;1;10001
-2,94143;0,368391;nan;nan;nan;1;10001
-1,4244;6,67373;nan;nan;nan;1;10001
1,52611;9,41123;nan;nan;nan;1;10001
-8,95797;-0,728802;nan;nan;nan;1;10001
9,99254;-0,978294;nan;nan;nan;1;10001
-0,877566;2,13295;nan;nan;nan;1;10001
0,435052;2,22659;nan;nan;nan;1;10001
1,0309;-8,52203;nan;nan;nan;1;10001
-2,71076;0,372493;nan;nan;nan;1;10001
-9,07552;8,75419;nan;nan;nan;1;10001
6,94391;8,13081;nan;nan;nan;1;10001
-9,1756;-8,67529;nan;nan;nan;1;10001
-0,369691;-8,07842;nan;nan;nan;1;10001
4,83467;-3,53544;nan;nan;nan;1;10001
8,52212;-1,90629;nan;nan;nan;1;10001
-5,21321;8,57218;nan;nan;nan;1;10001
-9,64985;3,26868;nan;nan;nan;1;10001
7,08769;5,42567;nan;nan;nan;1;10001
-6,65042;0,932977;nan;nan;nan;1;10001
-1,57736;0,516297;nan;nan;nan;1;10001
4,18604;7,90426;nan;nan;nan;1;10001
6,64594;3,12496;nan;nan;nan;1;10001
2,51315;7,18241;nan;nan;nan;1;10001
0,346953;2,83505;nan;nan;nan;1;10001
-0,982304;7,80986;nan;nan;nan;1;10001
8,16431;2,03673;nan;nan;nan;1;10001
1,29608;-3,40088;nan;nan;nan;1;10001
-0,943797;-9,34847;nan;nan;nan;1;10001
7,98836;5,37687;nan;nan;nan;1;10001
9,36548;7,66649;nan;nan;nan;1;10001
-0,722091;-8,3123;nan;nan;nan;1;10001
4,81214;1,97939;nan;nan;nan;1;10001
0,276759;-9,57129;nan;nan;nan;1;10001
8,77376;-3,96727;nan;nan;nan;1;10001
-6,40316;5,78295;nan;nan;nan;1;10001
-6,59149;-3,35489;nan;nan;nan;1;10001
-8,3539;3,30548;nan;nan;nan;1;10001
4,16056;-4,84919;nan;nan;nan;1;10001
-1,91675;8,65892;nan;nan;nan;1;10001
4,02718;-7,75093;nan;nan;nan;1;10001
-1,0944;8,4579;nan;nan;nan;1;10001
3,35155;7,36181;nan;nan;nan;1;10001
-0,856864;2,68322;nan;nan;nan;1;10001
3,87993;-6,54661;nan;nan;nan;1;10001
-3,06986;-4,08371;nan;nan;nan;1;10001
-7,1146;3,21407;nan;nan;nan;1;10001
6,18959;-2,13682;nan;nan;nan;1;10001
0,998594;-2,94142;nan;nan;nan;1;10001
4,1235;9,94961;nan;nan;nan;1;10001
-2,2951;-2,28437;nan;nan;nan;1;10001
-5,17598;-0,515146;nan;nan;nan;1;10001
-1,34485;-0,166483;nan;nan;nan;1;10001
-6,81147;-6,38666;nan;nan;nan;1;10001
-3,09219;0,857273;nan;nan;nan;1;10001
-2,25961;4,67449;nan;nan;nan;1;10001
7,73203;8,65575;nan;nan;nan;1;10001
-6,26422;-5,78192;nan;nan;nan;1;10001
-0,131296;5,31974;nan;nan;nan;1;10001
7,47864;3,56953;nan;nan;nan;1;10001
1,24577;5,03167;nan;nan;nan;1;10001
-3,6033;0,196318;nan;nan;nan;1;10001
3,81939;-9,50901;nan;nan;nan;1;10001
-0,445135;8,64633;nan;nan;nan;1;10001
1,84221;6,10749;nan;nan;nan;1;10001
-1,01219;1,71149;nan;nan;nan;1;10001
-4,14198;6,76827;nan;nan;nan;1;10001
-0,117178;6,67365;nan;nan;nan;1;10001
3,47408;0,0261764;nan;nan;nan;1;10001
-6,27283;-9,89967;nan;nan;nan;1;10001
-3,12403;6,379;nan;nan;nan;1;10001
1,38877;-9,25761;nan;nan;nan;1;10001
1,63373;-7,69595;nan;nan;nan;1;10001
7,25445;-6,98104;nan;nan;nan;1;10001
-6,64717;-0,134449;nan;nan;nan;1;10001
0,37834;4,92076;nan;nan;nan;1;10001
9,9798;4,45828;nan;nan;nan;1;10001
3,77317;-5,28298;nan;nan;nan;1;10001
-4,31136;-7,56975;nan;nan;nan;1;10001
8,27945;0,129509;nan;nan;nan;1;10001
8,28788;-1,80477;nan;nan;nan;1;10001
3,00194;-9,85163;nan;nan;nan;1;10001
-8,46034;9,44256;nan;nan;nan;1;10001
-4,07248;5,06131;nan;nan;nan;1;10001
7,85261;6,75599;nan;nan;nan;1;10001
