alpha;x*;y*;f_calls;min(local/global)
2,5;34,9824;0,0248767;4;lokalne
2,5;62,7482;-0,921148;16;globalne
2,5;0;-7,15717e-18;8;lokalne
2,5;0;-7,15717e-18;8;lokalne
2,5;62,7482;-0,921148;17;globalne
2,5;2,21067e-13;-7,15717e-18;9;lokalne
2,5;0;-7,15717e-18;8;lokalne
2,5;2,34881e-13;-7,15717e-18;17;lokalne
2,5;62,7482;-0,921148;11;globalne
2,5;2,24913e-13;-7,15717e-18;17;lokalne
2,5;0;-7,15717e-18;8;lokalne
2,5;62,7482;-0,921148;11;globalne
2,5;2,44555e-13;-7,15717e-18;9;lokalne
2,5;62,7482;-0,921148;9;globalne
2,5;-5,22459;0,000545926;5;lokalne
2,5;2,51291e-13;-7,15717e-18;23;lokalne
2,5;62,7482;-0,921148;12;globalne
2,5;2,25594e-13;-7,15717e-18;6;lokalne
2,5;0;-7,15717e-18;8;lokalne
2,5;62,7482;-0,921148;14;globalne
2,5;2,11866e-13;-7,15717e-18;9;lokalne
2,5;2,24792e-13;-7,15717e-18;7;lokalne
2,5;1,96089e-13;-7,15717e-18;9;lokalne
2,5;62,7482;-0,921148;15;globalne
2,5;62,7482;-0,921148;17;globalne
2,5;2,37816e-13;-7,15717e-18;14;lokalne
2,5;2,24849e-13;-7,15717e-18;6;lokalne
2,5;57,0615;-0,535614;4;lokalne
2,5;62,7482;-0,921148;13;globalne
2,5;62,7482;-0,921148;11;globalne
2,5;62,7482;-0,921148;16;globalne
2,5;62,7482;-0,921148;15;globalne
2,5;36,8186;0,0280996;4;lokalne
2,5;2,12052e-13;-7,15717e-18;18;lokalne
2,5;2,2167e-13;-7,15717e-18;9;lokalne
2,5;36,6583;0,0277934;4;lokalne
2,5;0;-7,15717e-18;8;lokalne
2,5;-7,59498e-13;-7,15717e-18;8;lokalne
2,5;2,24849e-13;-7,15717e-18;6;lokalne
2,5;2,25238e-13;-7,15717e-18;6;lokalne
2,5;2,2485e-13;-7,15717e-18;6;lokalne
2,5;2,253e-13;-7,15717e-18;10;lokalne
2,5;37,2831;0,0290188;5;lokalne
2,5;2,18339e-13;-7,15717e-18;8;lokalne
2,5;-1,19289;2,84599e-05;5;lokalne
2,5;2,24854e-13;-7,15717e-18;6;lokalne
2,5;0;-7,15717e-18;8;lokalne
2,5;2,26632e-13;-7,15717e-18;7;lokalne
2,5;62,7482;-0,921148;15;globalne
2,5;2,24849e-13;-7,15717e-18;6;lokalne
2,5;5,16913;0,000534397;5;lokalne
2,5;2,89808e-13;-7,15717e-18;33;lokalne
2,5;2,69113e-13;-7,15717e-18;27;lokalne
2,5;2,11787e-13;-7,15717e-18;8;lokalne
2,5;-1,64629e-13;-7,15717e-18;8;lokalne
2,5;2,41314e-13;-7,15717e-18;35;lokalne
2,5;2,04474e-13;-7,15717e-18;17;lokalne
2,5;2,18194e-13;-7,15717e-18;7;lokalne
2,5;2,24428e-13;-7,15717e-18;9;lokalne
2,5;2,25054e-13;-7,15717e-18;9;lokalne
2,5;2,22875e-13;-7,15717e-18;11;lokalne
2,5;2,24849e-13;-7,15717e-18;7;lokalne
2,5;62,7482;-0,921148;13;globalne
2,5;62,7482;-0,921148;15;globalne
2,5;62,7482;-0,921148;13;globalne
2,5;62,7482;-0,921148;15;globalne
2,5;62,7482;-0,921148;15;globalne
2,5;62,7482;-0,921148;10;globalne
2,5;2,30959e-13;-7,15717e-18;21;lokalne
2,5;2,36792e-13;-7,15717e-18;6;lokalne
2,5;2,24851e-13;-7,15717e-18;6;lokalne
2,5;2,43416e-13;-7,15717e-18;10;lokalne
2,5;62,7482;-0,921148;15;globalne
2,5;1,99197e-13;-7,15717e-18;25;lokalne
2,5;2,24854e-13;-7,15717e-18;6;lokalne
2,5;0;-7,15717e-18;8;lokalne
2,5;-5,69967;0,000649724;5;lokalne
2,5;2,79886e-13;-7,15717e-18;8;lokalne
2,5;62,7482;-0,921148;14;globalne
2,5;2,27791e-13;-7,15717e-18;7;lokalne
2,5;2,77887e-13;-7,15717e-18;25;lokalne
2,5;-3,40236e-13;-7,15717e-18;8;lokalne
2,5;3,72259e-15;-7,15717e-18;8;lokalne
2,5;62,7483;-0,921148;15;globalne
2,5;62,7482;-0,921148;9;globalne
2,5;55,8919;-0,412401;5;lokalne
2,5;62,7482;-0,921148;15;globalne
2,5;2,2478e-13;-7,15717e-18;9;lokalne
2,5;2,16251e-13;-7,15717e-18;9;lokalne
2,5;1,08543;2,35631e-05;5;lokalne
2,5;62,7482;-0,921148;10;globalne
2,5;62,7482;-0,921148;12;globalne
2,5;2,79513e-13;-7,15717e-18;37;lokalne
2,5;3,15581e-13;-7,15717e-18;6;lokalne
2,5;10,9851;0,00241346;5;lokalne
2,5;62,7482;-0,921148;11;globalne
2,5;6,2759;0,000787738;5;lokalne
2,5;-7,15715;0,0010245;4;lokalne
2,5;35,1937;0,0252194;4;lokalne
2,5;62,7482;-0,921148;10;globalne
